"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","82","3993","22","44","16","21","60","0.366","3710","3923","48.60","2706","2890","48.36","1914","2059","48.18","168","220","43.30","184.11","184.26","49.98","1988","2031","49.47","1126","1159","49.28","143","199","41.81","12.70","82.83","858","809","51.47","580","559","50.92","91","113","44.61","15.69","79.79","1130","1222","48.04","546","600","47.64","52","86","37.68","9.52","85.67","1954","2126","47.89","704","803","46.72","25","21","54.35","3.55","97.38","8.78","89.32","0.981"
"2","Nashville Predators","82","3896.7","42","32","8","36","92","0.561","3593","3985","47.41","2613","2952","46.95","1839","2086","46.85","146","153","48.83","168","186.61","47.38","1838","2037","47.43","1012","1166","46.46","122","131","48.22","12.06","88.77","756","819","48.00","513","570","47.37","83","80","50.92","16.18","85.96","1082","1218","47.04","499","596","45.57","39","51","43.33","7.82","91.44","1565","1715","47.71","746","812","47.88","24","22","52.17","3.22","97.29","7.94","92.67","1.006"
"3","Tampa Bay Lightning","82","3916.0833","46","30","6","43","98","0.598","3804","3590","51.45","2834","2700","51.21","1991","1992","49.99","175","162","51.93","180.07","170.06","51.43","1998","1847","51.96","1134","1086","51.08","148","134","52.48","13.05","87.66","853","756","53.01","590","557","51.44","104","77","57.46","17.63","86.18","1145","1091","51.21","544","529","50.70","44","57","43.56","8.09","89.22","2078","1914","52.05","788","822","48.94","26","28","48.15","3.30","96.59","8.79","91.87","1.007"
"4","New York Rangers","82","4028.2167","47","22","13","43","107","0.652","3669","3698","49.80","2726","2701","50.23","1967","1940","50.35","180","153","54.05","171.13","176.48","49.23","1883","1919","49.53","1046","1084","49.11","148","120","55.22","14.15","88.93","789","823","48.95","539","577","48.30","100","83","54.64","18.55","85.62","1094","1096","49.95","507","507","50.00","48","37","56.47","9.47","92.70","1588","1539","50.78","839","762","52.40","32","33","49.23","3.81","95.67","9.15","92.11","1.013"
"5","Vegas Golden Knights","82","4120.8333","51","22","9","46","111","0.677","3858","4155","48.15","2811","2922","49.03","2053","2053","50.00","185","159","53.78","181.01","174.16","50.96","1905","1995","48.85","1118","1056","51.43","164","135","54.85","14.67","87.22","836","738","53.11","594","518","53.42","105","81","56.45","17.68","84.36","1069","1257","45.96","524","538","49.34","59","54","52.21","11.26","89.96","1641","1914","46.16","809","886","47.73","21","23","47.73","2.60","97.40","9.01","92.26","1.013"
"6","Los Angeles Kings","82","3925.2","47","25","10","41","104","0.634","3845","3502","52.33","2880","2479","53.74","2075","1717","54.72","169","159","51.52","170.4","154.67","52.42","1886","1754","51.81","1093","938","53.82","147","132","52.69","13.45","85.93","764","695","52.36","556","470","54.19","87","86","50.29","15.65","81.70","1122","1059","51.44","537","468","53.43","60","46","56.60","11.17","90.17","2204","1846","54.42","905","676","57.24","22","27","44.90","2.43","96.01","8.14","90.74","0.989"
"7","Boston Bruins","82","3849.6833","65","12","5","61","135","0.823","3690","3519","51.19","2789","2598","51.77","2056","1861","52.49","199","114","63.58","178.14","156.34","53.26","2018","1756","53.47","1198","975","55.13","170","99","63.20","14.19","89.85","825","702","54.03","600","499","54.60","104","63","62.28","17.33","87.37","1193","1054","53.09","598","476","55.68","66","36","64.71","11.04","92.44","1528","1558","49.51","770","766","50.13","29","15","65.91","3.77","98.04","9.68","93.87","1.036"
"8","Washington Capitals","82","3986.4833","35","37","10","33","80","0.488","3839","3873","49.78","2808","2861","49.53","2008","2004","50.05","173","182","48.73","177.72","179.38","49.77","1892","1915","49.70","1092","1089","50.07","157","144","52.16","14.38","86.78","788","798","49.68","554","548","50.27","99","97","50.51","17.87","82.30","1104","1117","49.71","538","541","49.86","58","47","55.24","10.78","91.31","1656","1717","49.10","790","815","49.22","16","38","29.63","2.03","95.34","8.62","90.92","0.995"
"9","Columbus Blue Jackets","82","4035.1","25","48","9","24","59","0.360","3589","4401","44.92","2620","3264","44.53","1864","2333","44.41","143","231","38.24","160.28","202.48","44.18","1750","2181","44.52","1004","1236","44.82","116","196","37.18","11.55","84.14","681","887","43.43","473","623","43.16","68","124","35.42","14.38","80.10","1069","1294","45.24","531","613","46.42","48","72","40.00","9.04","88.25","1562","1969","44.24","758","1002","43.07","27","35","43.55","3.56","96.51","7.67","90.10","0.978"
"10","Carolina Hurricanes","82","3938.2833","52","21","9","48","113","0.689","4450","2920","60.38","3333","2242","59.78","2243","1621","58.05","174","139","55.59","207.72","138.61","59.98","2155","1410","60.45","1191","866","57.90","148","120","55.22","12.43","86.14","967","670","59.07","653","475","57.89","102","72","58.62","15.62","84.84","1188","740","61.62","538","391","57.91","46","48","48.94","8.55","87.72","2036","1249","61.98","978","623","61.09","26","19","57.78","2.66","96.95","7.76","91.43","0.992"
