"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","434.6667","23","47","12","20","58","0.354","93","830","10.08","83","671","11.01","69","481","12.55","0","78","0.00","3.23","70.73","4.37","29","513","5.35","18","315","5.41","0","58","0.00","0.00","81.59","15","211","6.64","9","145","5.84","0","33","0.00","0.00","77.24","14","302","4.43","9","170","5.03","0","25","0.00","0.00","85.29","15","343","4.19","10","164","5.75","0","20","0.00","0.00","87.80","0.00","83.78","0.838"
"2","Arizona Coyotes","82","519.2667","28","40","14","25","70","0.427","83","1044","7.36","75","817","8.41","65","572","10.20","5","81","5.81","5.38","83.6","6.05","41","639","6.03","35","357","8.93","5","61","7.58","14.29","82.91","20","253","7.33","17","168","9.19","0","36","0.00","0.00","78.57","21","386","5.16","18","189","8.70","5","25","16.67","27.78","86.77","18","426","4.05","8","211","3.65","0","20","0.00","0.00","90.52","7.69","85.84","0.935"
"3","Boston Bruins","82","476.3667","65","12","5","61","135","0.823","148","669","18.12","118","518","18.55","99","354","21.85","8","36","18.18","8.9","49.44","15.26","77","394","16.35","54","227","19.22","6","27","18.18","11.11","88.11","33","155","17.55","26","105","19.85","2","19","9.52","7.69","81.90","44","239","15.55","28","122","18.67","4","8","33.33","14.29","93.44","42","287","12.77","22","127","14.77","0","9","0.00","0.00","92.91","8.08","89.83","0.979"
"4","Buffalo Sabres","82","361.45","42","33","7","39","91","0.555","114","674","14.47","96","556","14.72","80","402","16.60","9","61","12.86","9.46","54.02","14.90","62","403","13.33","47","254","15.61","8","51","13.56","17.02","79.92","37","163","18.50","32","125","20.38","8","30","21.05","25.00","76.00","25","240","9.43","15","129","10.42","0","21","0.00","0.00","83.72","25","285","8.06","10","145","6.45","0","10","0.00","0.00","93.10","11.25","84.83","0.961"
"5","Carolina Hurricanes","82","435.7167","52","21","9","48","113","0.689","126","548","18.69","112","445","20.11","84","329","20.34","11","40","21.57","9.8","52.44","15.74","65","345","15.85","47","228","17.09","11","33","25.00","23.40","85.53","33","190","14.80","26","130","16.67","8","22","26.67","30.77","83.08","32","155","17.11","21","98","17.65","3","11","21.43","14.29","88.78","36","200","15.25","17","98","14.78","0","7","0.00","0.00","92.86","13.10","87.84","1.009"
"6","Columbus Blue Jackets","82","380.7667","25","48","9","24","59","0.360","110","715","13.33","93","568","14.07","74","394","15.81","5","59","7.81","5.61","56.74","8.99","49","413","10.61","32","252","11.27","4","45","8.16","12.50","82.14","20","168","10.64","18","121","12.95","3","24","11.11","16.67","80.17","29","245","10.58","14","131","9.66","1","21","4.55","7.14","83.97","26","302","7.93","9","139","6.08","0","14","0.00","0.00","89.93","6.76","85.03","0.918"
"7","Calgary Flames","82","456.7","38","27","17","36","93","0.567","189","661","22.24","168","508","24.85","132","356","27.05","8","47","14.55","12.48","51.07","19.64","95","395","19.39","65","223","22.57","8","34","19.05","12.31","84.75","43","161","21.08","28","105","21.05","5","9","35.71","17.86","91.43","52","234","18.18","37","118","23.87","3","25","10.71","8.11","78.81","49","284","14.71","28","132","17.50","0","13","0.00","0.00","90.15","6.06","86.80","0.929"
"8","Chicago Blackhawks","82","369.75","26","49","7","24","59","0.360","86","619","12.20","75","464","13.91","66","353","15.75","7","55","11.29","4.58","48.25","8.68","33","360","8.40","27","227","10.63","5","45","10.00","18.52","80.18","15","157","8.72","14","113","11.02","3","28","9.68","21.43","75.22","18","203","8.14","13","114","10.24","2","17","10.53","15.38","85.09","23","252","8.36","12","123","8.89","2","10","16.67","16.67","91.87","10.61","84.42","0.950"
"9","Colorado Avalanche","82","412.3333","51","24","7","45","109","0.665","87","639","11.98","80","500","13.79","68","368","15.60","6","52","10.34","5.97","54.96","9.80","47","366","11.38","40","231","14.76","5","44","10.20","12.50","80.95","22","198","10.00","20","143","12.27","3","35","7.89","15.00","75.52","25","168","12.95","20","88","18.52","2","9","18.18","10.00","89.77","14","274","4.86","9","133","6.34","0","8","0.00","0.00","93.98","8.82","85.87","0.947"
"10","Dallas Stars","82","425.2833","47","21","14","43","108","0.659","101","648","13.48","92","497","15.62","79","343","18.72","10","40","20.00","6.63","50.23","11.66","41","374","9.88","33","205","13.87","10","30","25.00","30.30","85.37","24","158","13.19","23","111","17.16","9","16","36.00","39.13","85.59","17","216","7.30","10","94","9.62","1","14","6.67","10.00","85.11","25","287","8.01","17","136","11.11","0","10","0.00","0.00","92.65","12.66","88.34","1.010"
