"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","82","376.5333","22","44","16","21","60","0.366","596","108","84.66","450","91","83.18","334","73","82.06","41","13","75.93","47.39","9.29","83.62","347","49","87.63","211","39","84.40","31","12","72.09","14.69","69.23","146","29","83.43","105","26","80.15","19","9","67.86","18.10","65.38","201","20","90.95","106","13","89.08","12","3","80.00","11.32","76.92","389","40","90.68","121","14","89.63","10","1","90.91","8.26","92.86","12.28","82.19","0.945"
"2","Nashville Predators","82","411.7","42","32","8","36","92","0.561","693","124","84.82","523","108","82.88","360","93","79.47","44","6","88.00","49.26","9.61","83.67","380","70","84.44","200","53","79.05","30","6","83.33","15.00","88.68","164","35","82.41","108","29","78.83","22","3","88.00","20.37","89.66","216","35","86.06","92","24","79.31","8","3","72.73","8.70","87.50","306","22","93.29","157","12","92.90","14","0","100.00","8.92","100.00","12.22","93.55","1.058"
"3","Tampa Bay Lightning","82","442.8167","46","30","6","43","98","0.598","749","116","86.59","571","100","85.10","409","78","83.98","71","11","86.59","57.75","7.94","87.91","470","71","86.88","271","46","85.49","58","11","84.06","21.40","76.09","177","33","84.29","125","28","81.70","33","9","78.57","26.40","67.86","293","38","88.52","146","18","89.02","25","2","92.59","17.12","88.89","446","29","93.89","138","14","90.79","13","0","100.00","9.42","100.00","17.36","85.90","1.033"
"4","New York Rangers","82","403.7333","47","22","13","43","107","0.652","798","89","89.97","636","74","89.58","431","61","87.60","59","5","92.19","66.29","5.09","92.87","478","39","92.46","254","27","90.39","45","4","91.84","17.72","85.19","210","19","91.70","131","15","89.73","24","3","88.89","18.32","80.00","268","20","93.06","123","12","91.11","21","1","95.45","17.07","91.67","327","28","92.11","174","12","93.55","13","0","100.00","7.47","100.00","13.69","91.80","1.055"
"5","Vegas Golden Knights","82","345.5833","51","22","9","46","111","0.677","620","88","87.57","485","72","87.07","358","61","85.44","42","3","93.33","51.02","5.96","89.55","380","40","90.48","242","28","89.63","36","3","92.31","14.88","89.29","159","20","88.83","120","14","89.55","20","3","86.96","16.67","78.57","221","20","91.70","122","14","89.71","16","0","100.00","13.11","100.00","268","23","92.10","114","11","91.20","6","0","100.00","5.26","100.00","11.73","95.08","1.068"
"6","Los Angeles Kings","82","426.8167","47","25","10","41","104","0.634","716","97","88.07","533","83","86.53","381","70","84.48","68","9","88.31","53.81","6.04","89.91","407","47","89.65","228","32","87.69","47","7","87.04","20.61","78.13","158","15","91.33","109","13","89.34","28","3","90.32","25.69","76.92","249","32","88.61","119","19","86.23","19","4","82.61","15.97","78.95","499","23","95.59","150","12","92.59","21","1","95.45","14.00","91.67","17.85","87.14","1.050"
"7","Boston Bruins","82","438.2833","65","12","5","61","135","0.823","793","111","87.72","593","97","85.94","437","83","84.04","61","8","88.41","60.66","6.52","90.30","461","54","89.51","282","36","88.68","45","7","86.54","15.96","80.56","195","24","89.04","147","22","86.98","27","4","87.10","18.37","81.82","266","30","89.86","135","14","90.60","18","3","85.71","13.33","78.57","341","14","96.06","150","7","95.54","16","1","94.12","10.67","85.71","13.96","90.36","1.043"
"8","Washington Capitals","82","401.7833","35","37","10","33","80","0.488","677","95","87.69","501","85","85.49","343","72","82.65","52","8","86.67","50.32","6.49","88.58","362","41","89.83","201","31","86.64","42","7","85.71","20.90","77.42","155","20","88.57","107","14","88.43","27","4","87.10","25.23","71.43","207","21","90.79","94","17","84.68","15","3","83.33","15.96","82.35","324","25","92.84","141","16","89.81","10","0","100.00","7.09","100.00","15.16","88.89","1.040"
"9","Columbus Blue Jackets","82","373.8333","25","48","9","24","59","0.360","629","109","85.23","495","96","83.76","342","77","81.62","41","9","82.00","48.16","8.06","85.66","332","59","84.91","195","45","81.25","29","8","78.38","14.87","82.22","136","36","79.07","82","29","73.87","15","5","75.00","18.29","82.76","196","23","89.50","113","16","87.60","14","3","82.35","12.39","81.25","314","25","92.63","146","11","92.99","12","0","100.00","8.22","100.00","11.99","88.31","1.003"
"10","Carolina Hurricanes","82","422.2333","52","21","9","48","113","0.689","800","98","89.09","612","87","87.55","402","71","84.99","50","6","89.29","60.44","6.43","90.39","431","50","89.60","236","35","87.08","40","5","88.89","16.95","85.71","181","21","89.60","110","17","86.61","16","4","80.00","14.55","76.47","250","29","89.61","126","18","87.50","24","1","96.00","19.05","94.44","377","16","95.93","165","8","95.38","10","0","100.00","6.06","100.00","12.44","91.55","1.040"
